"Group","Ancestors","Ontology"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901363, GO:1901265, GO:0043167, GO:0036094, GO:0043168, GO:0005488, GO:0003674, GO:0000166, GO:0032559, GO:0035639, GO:0097159, GO:0097367, GO:0017076, GO:0032553, GO:0030554, GO:0032555","GO:0005524"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019538, GO:0036211, GO:0007154, GO:1901564, GO:0006468, GO:0044238, GO:0044237, GO:0003674, GO:0043170, GO:0018193, GO:0050794, GO:0003824, GO:0000160, GO:0016310, GO:0016772, GO:0016773, GO:0016775, GO:0050896, GO:0035556, GO:0140299, GO:0065007, GO:0008150, GO:0140096, GO:0007165, GO:0008152, GO:0004672, GO:0006793, GO:0004673, GO:0043412, GO:0009987, GO:0006796, GO:0006807, GO:0023052, GO:0051716, GO:0018202, GO:0016740, GO:0016301, GO:0050789, GO:0071704, GO:0018106","GO:0000155"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0004557, GO:0003824, GO:0015925, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0052692"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0005975, GO:0009056, GO:0008152, GO:1901575, GO:0044238, GO:0071704","GO:0016052"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0043648, GO:0170033, GO:0170034, GO:1901564, GO:0006520, GO:1901566, GO:0009058, GO:0044238, GO:0170039, GO:0044237, GO:0170038, GO:0044281, GO:0044283, GO:0006536, GO:0006537, GO:0016053, GO:0009064, GO:0008150, GO:0009084, GO:0008152, GO:1901576, GO:0043650, GO:0008652, GO:0044249, GO:0009987, GO:0043436, GO:0046394, GO:1901605, GO:1901607, GO:0006807, GO:0019752, GO:0071704","GO:0097054"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003676, GO:0003677, GO:0097159, GO:0005488, GO:0003674","GO:0043565"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0008152, GO:0044238, GO:0071704","GO:0005975"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016020, GO:0110165, GO:0030312, GO:0005575, GO:0031975, GO:0019867, GO:0071944, GO:0030313","GO:0009279"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0005488, GO:0003674","GO:0030246"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0003674, GO:0016787, GO:0016798","GO:0004553"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0032392, GO:0008094, GO:0140097, GO:0004386, GO:0006996, GO:0009987, GO:0003674, GO:0140657, GO:0051276, GO:0003824, GO:0032508, GO:0016043, GO:0071840, GO:0071103, GO:0140640","GO:0003678"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0140657, GO:0016817, GO:0016818, GO:0016462, GO:0017111, GO:0003674, GO:0016787","GO:0016887"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0055085, GO:0051234, GO:0051179, GO:0022857, GO:0042908, GO:0006810, GO:0009987, GO:0003674, GO:0005215","GO:0042910"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0003674","GO:0016787"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0055085, GO:0051234, GO:0051179, GO:0022857, GO:0022804, GO:0015291, GO:0006810, GO:0005215, GO:0009987, GO:0003674","GO:0015297"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015925, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004565"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015928, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004560"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0008152, GO:0006996, GO:0006259, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0051276, GO:0006807, GO:0016043, GO:0071840, GO:0071103, GO:0034641, GO:0071704","GO:0006265"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004650"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140657, GO:0003824, GO:0003674, GO:0140640","GO:0004386"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0015926, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0008422"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0006260, GO:0008152, GO:0006259, GO:0044238, GO:0006139, GO:0044237, GO:0009987, GO:0043170, GO:0006725, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0006261"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140097, GO:0003824, GO:0003916, GO:0003674, GO:0140640, GO:0016853","GO:0003917"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043229, GO:0043232, GO:0043226, GO:0110165, GO:0005575, GO:0005622, GO:0043228","GO:0005694"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0046915, GO:0015075, GO:0008324, GO:0046873, GO:0098660, GO:0003674, GO:0005215, GO:0022890, GO:0006811, GO:0006812, GO:0000041, GO:0098655, GO:0030001, GO:0008150, GO:0055085, GO:0005381, GO:0022857, GO:0034220, GO:0006810, GO:0009987, GO:0098662, GO:0051179, GO:0051234, GO:0006826, GO:0015318, GO:0034755","GO:0015093"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1902494, GO:0032991, GO:0005575","GO:0009341"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0009064, GO:0006082, GO:0008150, GO:0170033, GO:0008152, GO:0006520, GO:1901564, GO:0170039, GO:0044238, GO:0044237, GO:0009987, GO:0043436, GO:0044281, GO:1901605, GO:0006807, GO:0019752, GO:0071704","GO:0006541"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006725, GO:0046483, GO:0008150, GO:1901360, GO:0006807, GO:0008152, GO:0034641, GO:0044238, GO:0071704, GO:0044237, GO:0009987","GO:0006139"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0008152, GO:0006259, GO:0044238, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0006310"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0015929, GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0004563"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0033293, GO:1901363, GO:1901681, GO:0043167, GO:0043177, GO:0036094, GO:0043168, GO:0005488, GO:0003674, GO:0031406, GO:0097159, GO:0033218","GO:0008658"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150","GO:0008152"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0051540, GO:0036094, GO:0005488, GO:0051536, GO:0003674","GO:0051539"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0032392, GO:0008094, GO:0140097, GO:0004386, GO:0006996, GO:0009987, GO:0003674, GO:0003678, GO:0051276, GO:0003824, GO:0140657, GO:0032508, GO:0016043, GO:0071840, GO:0071103, GO:0140640","GO:0043139"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0046556"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901360, GO:1901362, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0003674, GO:0043170, GO:0046483, GO:0018130, GO:0003824, GO:0071897, GO:0034641, GO:0016772, GO:0090304, GO:0008150, GO:0016779, GO:0034061, GO:0140097, GO:0008152, GO:1901576, GO:0006259, GO:0044249, GO:0006139, GO:0009987, GO:0006725, GO:0044271, GO:0006807, GO:0034654, GO:0016740, GO:0071704, GO:0019438, GO:0140640","GO:0003887"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901363, GO:0097159, GO:1901681, GO:0043167, GO:0043169, GO:0036094, GO:0043168, GO:0050997, GO:0005488, GO:0019842, GO:0003674","GO:0030976"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901360, GO:1901362, GO:0006260, GO:0006261, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0003674, GO:0006269, GO:0043170, GO:0046483, GO:0016070, GO:0018130, GO:0003824, GO:0016772, GO:0097747, GO:0034641, GO:0140098, GO:0090304, GO:0008150, GO:0016779, GO:0034062, GO:0008152, GO:1901576, GO:0006259, GO:0044249, GO:0006139, GO:0009987, GO:0006725, GO:0003899, GO:0044271, GO:0006807, GO:0034654, GO:0032774, GO:0016740, GO:0071704, GO:0019438, GO:0140640","GO:0003896"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0042626, GO:0015399, GO:0055085, GO:0022857, GO:0022804, GO:0034220, GO:0015075, GO:0008324, GO:0022853, GO:0006810, GO:0003674, GO:0009987, GO:0005215, GO:0006811, GO:0006812, GO:0051234, GO:0051179, GO:0140657, GO:0098655","GO:0019829"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043229, GO:0043232, GO:0005694, GO:0043226, GO:0110165, GO:0005575, GO:0005622, GO:0043228, GO:0005657, GO:0032993, GO:0032991, GO:0030894","GO:1990077"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0051179, GO:0051234, GO:0055085, GO:0022857, GO:0006810, GO:0003674, GO:0005215, GO:0009987","GO:0015562"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016788, GO:0004527, GO:0003824, GO:0004518, GO:0003674, GO:0016787","GO:0008408"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003676, GO:0003677, GO:0097159, GO:0005488, GO:0003674","GO:0003684"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0016043, GO:0071554, GO:0071840, GO:0071555, GO:0045229, GO:0009987","GO:0042545"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006281, GO:1901360, GO:0000715, GO:0006283, GO:0006289, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0033554, GO:0034641, GO:0050896, GO:0090304, GO:0008150, GO:0008152, GO:0006974, GO:0006259, GO:0006996, GO:0006139, GO:0006950, GO:0009987, GO:0006725, GO:0006807, GO:0051276, GO:0051716, GO:0016043, GO:0071840, GO:0071704","GO:0000716"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0044281, GO:0008150, GO:0008152, GO:0006793, GO:0044237, GO:0071704, GO:0009987, GO:0043436","GO:0006797"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008094, GO:0140097, GO:0140657, GO:0003824, GO:0003916, GO:0003674, GO:0140640, GO:0016853","GO:0003918"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0016740, GO:0003674","GO:0016757"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0090304, GO:0008150, GO:1901360, GO:0008152, GO:0044238, GO:0006259, GO:0044237, GO:0006139, GO:0009987, GO:0006725, GO:0043170, GO:0046483, GO:0006807, GO:0034641, GO:0071704","GO:0015074"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016788, GO:1901360, GO:0004520, GO:0044238, GO:0044237, GO:0003674, GO:0043170, GO:0046483, GO:0004536, GO:0003824, GO:0004519, GO:0004518, GO:0034641, GO:0090304, GO:0008150, GO:0140097, GO:0008152, GO:0006259, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0071704, GO:0140640, GO:0016787","GO:0009381"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0008150, GO:0009056, GO:0008152, GO:0006063, GO:1901575, GO:0044237, GO:0044248, GO:0009987, GO:0043436, GO:0044281, GO:0046395, GO:0044282, GO:0016054, GO:0019585, GO:0019752, GO:0071704, GO:0072329, GO:0032787","GO:0006064"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:1901360, GO:1901362, GO:0009058, GO:0044238, GO:0044237, GO:0044281, GO:0046483, GO:0044283, GO:0018130, GO:0016053, GO:0034641, GO:0008150, GO:0055086, GO:0008152, GO:0009226, GO:1901576, GO:0009225, GO:1901135, GO:0006793, GO:1901137, GO:0044249, GO:0006139, GO:0009987, GO:0043436, GO:0006725, GO:0046394, GO:0044271, GO:0046398, GO:0006807, GO:0034654, GO:0019752, GO:0071704, GO:0019438","GO:0006065"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016614, GO:0016616, GO:0016491, GO:0003824, GO:0003674","GO:0003979"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0010383, GO:0008150, GO:0016998, GO:0009057, GO:0009056, GO:0008152, GO:0044036, GO:1901575, GO:0044238, GO:0044347, GO:0009987, GO:0043170, GO:0005976, GO:0005975, GO:0045491, GO:0000272, GO:0016052, GO:2000895, GO:0071554, GO:0071704, GO:0010410","GO:0045493"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016788, GO:0003824, GO:0003674, GO:0016787","GO:0008484"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0003674, GO:0016787","GO:0016798"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043167, GO:0036094, GO:0005488, GO:0003674","GO:0043169"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003676, GO:0003677, GO:0097159, GO:0003690, GO:0005488, GO:0003674","GO:0030983"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016757, GO:0016758, GO:0003824, GO:0016740, GO:0003674","GO:0003844"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0009250, GO:0008150, GO:0006091, GO:0015980, GO:0008152, GO:1901576, GO:0006112, GO:0009059, GO:0009058, GO:0044238, GO:0044249, GO:0044237, GO:0009987, GO:0005976, GO:0043170, GO:0005975, GO:0005977, GO:0000271, GO:0044042, GO:0016051, GO:0071704","GO:0005978"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016879, GO:0003824, GO:0016880, GO:0016874, GO:0003674","GO:0008795"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0009273, GO:0006024, GO:1901564, GO:0009059, GO:0044038, GO:0006022, GO:0006023, GO:0009058, GO:1901566, GO:0044237, GO:0043170, GO:0044085, GO:0071554, GO:0030203, GO:0008150, GO:0008152, GO:1901576, GO:1901135, GO:1901137, GO:0044249, GO:0009987, GO:0042546, GO:0006807, GO:0000270, GO:0071840, GO:0071704","GO:0009252"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0006091, GO:0006119, GO:0015980, GO:0022904, GO:0008152, GO:0045333, GO:0022900, GO:0009060, GO:0044237, GO:0009987","GO:0042773"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140096, GO:0003824, GO:0008233, GO:0003674, GO:0008238, GO:0016787","GO:0004177"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016020, GO:0110165, GO:0005575, GO:0071944","GO:0005886"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0044281, GO:0005975, GO:0019318, GO:0008150, GO:0008152, GO:0044238, GO:0071704, GO:0005996","GO:0006004"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006725, GO:0046483, GO:0008150, GO:1901360, GO:0006807, GO:0008152, GO:1901564, GO:0044237, GO:0071704, GO:0009987","GO:0042558"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006281, GO:1901360, GO:0044238, GO:0044237, GO:0006302, GO:0043170, GO:0046483, GO:0033554, GO:0034641, GO:0050896, GO:0090304, GO:0008150, GO:0000725, GO:0008152, GO:0006310, GO:0006974, GO:0006259, GO:0006139, GO:0009987, GO:0006950, GO:0006725, GO:0006807, GO:0051716, GO:0071704","GO:0000724"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0170033, GO:0170034, GO:0006520, GO:1901564, GO:0008168, GO:0009058, GO:1901566, GO:0044238, GO:0170039, GO:0044237, GO:0003674, GO:0170038, GO:0044281, GO:0044283, GO:0042084, GO:0003824, GO:0016053, GO:0009086, GO:0008172, GO:0008150, GO:0006790, GO:0009067, GO:0009066, GO:0008152, GO:1901576, GO:0008652, GO:0044249, GO:0009987, GO:0043436, GO:0006555, GO:0046394, GO:1901605, GO:0044272, GO:0000097, GO:1901607, GO:0000096, GO:0006807, GO:0019752, GO:0016740, GO:0071704, GO:0016741","GO:0008705"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0044281, GO:0008150, GO:0005975, GO:0008152, GO:0044238, GO:0071704, GO:0005996","GO:0019318"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016879, GO:0003824, GO:0016880, GO:0016211, GO:0016874, GO:0003674","GO:0004356"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0044281, GO:0008150, GO:0005975, GO:0008152, GO:0019321, GO:0019566, GO:0044238, GO:0071704, GO:0005996","GO:0046373"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901360, GO:1901362, GO:0006260, GO:0006261, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0016070, GO:0018130, GO:0034641, GO:0090304, GO:0008150, GO:0008152, GO:1901576, GO:0006259, GO:0044249, GO:0006139, GO:0009987, GO:0006725, GO:0044271, GO:0006807, GO:0034654, GO:0032774, GO:0071704, GO:0019438","GO:0006269"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0044281, GO:0008150, GO:0008152, GO:0019752, GO:0044237, GO:0071704, GO:0009987, GO:0043436, GO:0032787","GO:0006090"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016757, GO:0016758, GO:0003824, GO:0016740, GO:0003674","GO:0008955"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140096, GO:0003824, GO:0008233, GO:0003674, GO:0016787","GO:0008234"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016469, GO:0098796, GO:1902494, GO:1904949, GO:0033177, GO:0033176, GO:0016020, GO:0032991, GO:0110165, GO:0005575","GO:0033179"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019538, GO:0008150, GO:0009057, GO:0009056, GO:0030163, GO:0008152, GO:1901565, GO:1901564, GO:1901575, GO:0044238, GO:0043170, GO:0006807, GO:0006508, GO:0071704, GO:0051603","GO:0006515"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019637, GO:1901360, GO:0006163, GO:1901362, GO:0006164, GO:1901564, GO:1901566, GO:0009058, GO:0044238, GO:0044237, GO:0009117, GO:0044281, GO:0046483, GO:0072521, GO:0019362, GO:0018130, GO:0019363, GO:0072525, GO:0072524, GO:0034641, GO:0072522, GO:1901293, GO:0008150, GO:0055086, GO:0009165, GO:0008152, GO:1901576, GO:0006793, GO:0044249, GO:0006139, GO:0009987, GO:0006796, GO:0006753, GO:0006725, GO:0044271, GO:0006807, GO:0046496, GO:0019674, GO:0034654, GO:0090407, GO:0019359, GO:0071704, GO:0019438","GO:0009435"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1901360, GO:0009112, GO:1901362, GO:1901564, GO:0006144, GO:0009058, GO:1901566, GO:0044238, GO:0044237, GO:0044281, GO:0046483, GO:0072521, GO:0018130, GO:0072522, GO:0034641, GO:0008150, GO:0055086, GO:0008152, GO:1901576, GO:0044249, GO:0006139, GO:0009987, GO:0006725, GO:0044271, GO:0046112, GO:0006807, GO:0071704, GO:0019438","GO:0009113"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016879, GO:0003824, GO:0016884, GO:0016874, GO:0003674","GO:0003952"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0004645, GO:0016757, GO:0016758, GO:0003824, GO:0016740, GO:0003674","GO:0008184"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0000166, GO:1901363, GO:0097159, GO:1901265, GO:0043167, GO:0036094, GO:0043168, GO:0005488, GO:0003674","GO:0050660"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016835, GO:0003824, GO:0016829, GO:0003674","GO:0016836"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043170, GO:0019538, GO:0008150, GO:0006807, GO:0008152, GO:1901564, GO:0044238, GO:0071704","GO:0006508"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0140096, GO:0017171, GO:0003824, GO:0008233, GO:0003674, GO:0016787","GO:0008236"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016854, GO:0016857, GO:0003824, GO:0003674, GO:0016853","GO:0004034"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016769, GO:0003824, GO:0016740, GO:0003674","GO:0008483"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0003824, GO:0030572, GO:0016780, GO:0016772, GO:0016740, GO:0003674","GO:0008808"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016757, GO:0003824, GO:0016740, GO:0016763, GO:0003674","GO:0004044"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008094, GO:0140097, GO:0003824, GO:0140657, GO:0003916, GO:0003918, GO:0003674, GO:0016853, GO:0140640","GO:0034335"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016788, GO:0003824, GO:0004518, GO:0003674, GO:0016787","GO:0004527"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016491, GO:0003824, GO:0016695, GO:0003674, GO:0016699","GO:0008901"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0046914, GO:0046872, GO:0043167, GO:0043169, GO:0036094, GO:0005488, GO:0003674","GO:0008270"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043167, GO:0043169, GO:0036094, GO:0005488, GO:0003674","GO:0046872"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0032392, GO:1901360, GO:0006260, GO:0006261, GO:0044238, GO:0044237, GO:0043170, GO:0046483, GO:0032508, GO:0034641, GO:0090304, GO:0008150, GO:0008152, GO:0006996, GO:0006259, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0051276, GO:0016043, GO:0071840, GO:0071103, GO:0071704","GO:0006268"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016746, GO:0016747, GO:0016407, GO:0003824, GO:0016408, GO:0016453, GO:0016740, GO:0003674","GO:0008861"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:1902494, GO:0061695, GO:1990234, GO:0140535, GO:0032991, GO:0042575, GO:0005575","GO:0009360"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0008152, GO:0044237, GO:0009987","GO:0008218"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0110165, GO:0005575","GO:0071944"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0015399, GO:0015453, GO:0055085, GO:0022857, GO:0022804, GO:0009055, GO:0006810, GO:0005215, GO:0009987, GO:0003674, GO:0050136, GO:0003954, GO:0051234, GO:0051179, GO:0003955, GO:0016491, GO:0003824, GO:0016651, GO:0016655","GO:0008137"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0043604, GO:0043603, GO:0019538, GO:1901360, GO:0006520, GO:1901564, GO:0009059, GO:0009058, GO:1901566, GO:0044238, GO:0044237, GO:0043170, GO:0006418, GO:0046483, GO:0016070, GO:0006518, GO:0034641, GO:0090304, GO:0008150, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0043039, GO:0044249, GO:0043038, GO:0006139, GO:0009987, GO:0006412, GO:0006725, GO:0044271, GO:0006807, GO:0043043, GO:0010467, GO:0071704","GO:0006428"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019538, GO:0008150, GO:0008152, GO:1901576, GO:1901564, GO:0009059, GO:0009058, GO:0044238, GO:0044249, GO:0044237, GO:0009987, GO:0043170, GO:0006807, GO:0006508, GO:0010467, GO:0051604, GO:0071704","GO:0016485"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0008150, GO:0009057, GO:0009056, GO:0008152, GO:1901565, GO:1901136, GO:1901564, GO:1901575, GO:1901135, GO:0006022, GO:0006026, GO:0043170, GO:0006807, GO:0071704, GO:0030203","GO:0006027"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016879, GO:0003824, GO:0016874, GO:0003674","GO:0004516"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0046872, GO:0043167, GO:0036094, GO:0043169, GO:0005488, GO:0003674","GO:0000287"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0015698, GO:0015103, GO:0008150, GO:0055085, GO:0022857, GO:0006810, GO:0098660, GO:0009987, GO:0003674, GO:0005215, GO:0098661, GO:0051234, GO:0051179, GO:0006817, GO:0015318, GO:0035435","GO:0015114"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0061695, GO:1902494, GO:1990234, GO:0032991, GO:0005575","GO:0009358"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0006082, GO:0008150, GO:0008152, GO:1901576, GO:0009058, GO:0006793, GO:0044249, GO:0044237, GO:0009987, GO:0006797, GO:0043436, GO:0044281, GO:0071704","GO:0006799"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0034470, GO:1901360, GO:0009451, GO:0009059, GO:0009058, GO:0044238, GO:0044237, GO:0006400, GO:0043170, GO:0046483, GO:0016070, GO:0034641, GO:0090304, GO:0008150, GO:0008033, GO:0034660, GO:0008152, GO:1901576, GO:0006399, GO:0002097, GO:0006396, GO:0044249, GO:0006139, GO:0043412, GO:0009987, GO:0006725, GO:0006807, GO:0010467, GO:0071704","GO:0002098"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0097599, GO:0003824, GO:0004553, GO:0003674, GO:0016787, GO:0016798","GO:0009044"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0019637, GO:0044255, GO:0009058, GO:0044238, GO:0006644, GO:0044237, GO:0046486, GO:0032048, GO:0008150, GO:0008152, GO:1901576, GO:0008654, GO:0008610, GO:0045017, GO:0006793, GO:0006650, GO:0006655, GO:0044249, GO:0009987, GO:0006796, GO:0046471, GO:0006629, GO:0046474, GO:0090407, GO:0071704","GO:0032049"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0022804, GO:0015075, GO:0008324, GO:0015294, GO:0015370, GO:0015293, GO:0046873, GO:0015291, GO:0098660, GO:0005215, GO:0003674, GO:0006814, GO:0022890, GO:0006811, GO:0006812, GO:0098655, GO:0030001, GO:0008150, GO:0055085, GO:0022857, GO:0034220, GO:0022853, GO:0015081, GO:0006810, GO:0009987, GO:0051234, GO:0051179, GO:0098662, GO:0035725, GO:0015318","GO:0005436"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0015698, GO:0008150, GO:0051234, GO:0051179, GO:0006817, GO:0006810","GO:0044341"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0010393, GO:0008150, GO:0009057, GO:0009056, GO:0008152, GO:1901575, GO:0045488, GO:0044238, GO:0043170, GO:0005976, GO:0005975, GO:0000272, GO:0016052, GO:0071704","GO:0045490"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016788, GO:0016888, GO:1901360, GO:0004520, GO:0044238, GO:0044237, GO:0003674, GO:0043170, GO:0046483, GO:0004536, GO:0003824, GO:0140657, GO:0004519, GO:0004518, GO:0016893, GO:0034641, GO:0015666, GO:0090304, GO:0008150, GO:0008094, GO:0140097, GO:0008152, GO:0006259, GO:0006139, GO:0009987, GO:0006725, GO:0006807, GO:0015616, GO:0071704, GO:0140640, GO:0016787","GO:0009035"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016810, GO:0016812, GO:0003824, GO:0003674, GO:0016787","GO:0004151"
"fecal.Control.control_vs_fecal.CU.3.meses","GO:0016879, GO:0003824, GO:0016884, GO:0016874, GO:0003674","GO:0004066"
